.id,Player,Rating,Games,Win,Draw,Loss,Lag,name
1990,100763,2394.816991,65,46,0,19,0,Brad Gilbert
2006,103900,2394.772388,63,44,0,19,0,David Nalbandian
2004,103084,2394.029325,62,40,0,22,2,Guillermo Canas
2009,104022,2393.576102,70,42,0,28,3,Mikhail Youzhny
2013,105683,2393.570251,68,46,0,22,3,Milos Raonic
2011,105223,2393.320496,68,49,0,19,0,Juan Martin Del Potro
2009,105227,2393.111565,69,48,0,21,2,Marin Cilic
1988,100936,2392.829081,74,51,0,23,1,Henri Leconte
2003,102845,2392.666967,79,57,0,22,0,Carlos Moya
2000,102338,2392.643496,102,67,0,35,1,Yevgeny Kafelnikov
1986,101138,2392.509778,35,24,0,11,0,Pat Cash
1999,102796,2392.488748,66,44,0,22,2,Magnus Norman
2004,102845,2391.821137,79,60,0,19,0,Carlos Moya
2012,104542,2391.732857,82,57,0,25,2,Jo Wilfried Tsonga
1999,102158,2391.62468,55,38,0,17,11,Patrick Rafter
1986,100581,2391.572974,27,22,0,5,4,John Mcenroe
2011,104545,2390.931819,57,36,0,21,3,John Isner
1988,100689,2389.888421,67,48,0,19,1,Tim Mayotte
2009,104542,2389.757453,75,54,0,21,2,Jo Wilfried Tsonga
1989,100284,2389.602501,44,31,0,13,4,Jimmy Connors
1995,101589,2389.324068,79,46,0,33,3,Arnaud Boetsch
2006,104755,2389.300124,56,34,0,22,2,Richard Gasquet
2005,103602,2388.902275,73,50,0,23,1,Fernando Gonzalez
1993,101736,2388.258452,44,33,0,11,11,Andre Agassi
1997,102450,2388.196553,72,48,0,24,1,Tim Henman
2009,104792,2387.984646,62,42,0,20,2,Gael Monfils
1991,101964,2387.036587,64,41,0,23,4,Goran Ivanisevic
1986,101036,2386.642626,61,42,0,19,4,Miloslav Mecir
2000,101736,2385.482217,54,39,0,15,1,Andre Agassi
1987,100653,2385.385198,70,51,0,19,2,Andres Gomez
1993,101589,2385.296336,72,46,0,26,4,Arnaud Boetsch
1993,101793,2385.029609,75,58,0,17,2,Jim Courier
1985,100676,2384.832853,72,51,0,21,0,Yannick Noah
2002,103206,2384.701169,65,43,0,22,0,Sebastien Grosjean
1989,101736,2384.339449,60,41,0,19,1,Andre Agassi
2005,102563,2384.183836,72,47,0,25,2,Thomas Johansson
